"School Name","School URL","School Teams","Errors"
"Cosby (VA)","https://hspf17.debatecoaches.org//Cosby/","['Cosby Griffin Amos - Josh Sheffield']",""
"Crandall (TX)","https://hspf17.debatecoaches.org//Crandall/","[]","No debaters listed"
"Crenshaw (CA)","https://hspf17.debatecoaches.org//Crenshaw/","[]","No debaters listed"
"Crosby (TX)","https://hspf17.debatecoaches.org//Crosby/","[]","No debaters listed"
"Cross Keys (GA)","https://hspf17.debatecoaches.org//Cross%20Keys/","[]","No debaters listed"
"Crossings Christian (OK)","https://hspf17.debatecoaches.org//Crossings%20Christian/","[]","No debaters listed"
"Cupertino (CA)","https://hspf17.debatecoaches.org//Cupertino/","[]","No debaters listed"
"Cypress Bay (FL)","https://hspf17.debatecoaches.org//Cypress%20Bay/","['Cypress Bay Matthew Norman - Noah Kaner', 'Cypress Bay Ethan Silvey - Andrew Briceno']",""
"Cypress Fair (TX)","https://hspf17.debatecoaches.org//Cypress%20Fair/","[]","No debaters listed"
"Cypress Woods (TX)","https://hspf17.debatecoaches.org//Cypress%20Woods/","[]","No debaters listed"
"Damien (CA)","https://hspf17.debatecoaches.org//Damien/","[]","No debaters listed"
"Davis (CA)","https://hspf17.debatecoaches.org//Davis/","['Davis Jack Walsh - Amanda Niemela', 'Davis Lili Ma - Max Komessar']",""
"Dawson (TX)","https://hspf17.debatecoaches.org//Dawson/","[]","No debaters listed"
"Debate Rhode Island (RI)","https://hspf17.debatecoaches.org//Debate%20Rhode%20Island/","[]","No debaters listed"
"Denver Arts (CO)","https://hspf17.debatecoaches.org//Denver%20Arts/","[]","No debaters listed"
"Denver Center For Int'l Studies (CO)","https://hspf17.debatecoaches.org//Denver%20Center/","[]","No debaters listed"
"Denver East (CO)","https://hspf17.debatecoaches.org//Denver%20East/","[]","No debaters listed"
"Derby (KS)","https://hspf17.debatecoaches.org//Derby/","[]","No debaters listed"
"Des Moines Roosevelt (IA)","https://hspf17.debatecoaches.org//Des%20Moines%20Roosevelt/","['Des Moines Roosevelt Sri Chilukuri - Sean Anderson', 'Des Moines Roosevelt Dylan Morgan - Sara Smith', 'Des Moines Roosevelt Finn Andersen - Logan Garland', 'Des Moines Roosevelt Sri Chilukuri - Isaac Appel']",""
"Desert Vista (AZ)","https://hspf17.debatecoaches.org//Desert%20Vista/","[]","No debaters listed"
"Detroit Country Day (MI)","https://hspf17.debatecoaches.org//Detroit%20Country%20Day/","[]","No debaters listed"
"Dexter (MI)","https://hspf17.debatecoaches.org//Dexter/","[]","No debaters listed"
"Diamond Bar (CA)","https://hspf17.debatecoaches.org//Diamond%20Bar/","[]","No debaters listed"
"Dominion (VA)","https://hspf17.debatecoaches.org//Dominion/","[]","No debaters listed"
"Dougherty Valley (CA)","https://hspf17.debatecoaches.org//Dougherty%20Valley/","['Dougherty Valley Saad Jamal - Shreyas Kiran', 'Dougherty Valley Srisai Nachuri - Gabe Lee', 'Dougherty Valley Riya Bindlish - Sanji Ranganathan', 'Dougherty Valley Tanaya Bhakat - Vivian Kuang']",""
"Dow (MI)","https://hspf17.debatecoaches.org//Dow/","[]","No debaters listed"
"Dowling Catholic (IA)","https://hspf17.debatecoaches.org//Dowling%20Catholic/","[]","No debaters listed"
"Downtown Magnets (CA)","https://hspf17.debatecoaches.org//Downtown%20Magnets/","[]","No debaters listed"
"Dripping Springs (TX)","https://hspf17.debatecoaches.org//Dripping%20Springs/","[]","No debaters listed"
"Duchesne Academy (TX)","https://hspf17.debatecoaches.org//Duchesne%20Academy/","['Duchesne Academy Danielle Linbeck - Avnika Dubey', 'Duchesne Academy Brooke Blanton - Sylvia Duarte']",""
"Dulles (TX)","https://hspf17.debatecoaches.org//Dulles/","[]","No debaters listed"
"Dunwoody (GA)","https://hspf17.debatecoaches.org//Dunwoody/","[]","No debaters listed"
"Dupont Manual (KY)","https://hspf17.debatecoaches.org//Dupont%20Manual/","['Dupont Manual Sarvesh Babu - John Liu', 'Dupont Manual Brendon Bultman - Ben Hanson']",""
"Eagan (MN)","https://hspf17.debatecoaches.org//Eagan/","[]","No debaters listed"
"Eagle (ID)","https://hspf17.debatecoaches.org//Eagle/","[]","No debaters listed"
"East (UT)","https://hspf17.debatecoaches.org//East/","[]","No debaters listed"
"East Chapel Hill (NC)","https://hspf17.debatecoaches.org//East%20Chapel%20Hill/","[]","No debaters listed"
"East Early (TX)","https://hspf17.debatecoaches.org//East%20Early/","[]","No debaters listed"
"East Kentwood (MI)","https://hspf17.debatecoaches.org//East%20Kentwood/","[]","No debaters listed"
"East Side HS (NJ)","https://hspf17.debatecoaches.org//East%20Side/","[]","No debaters listed"
"Eastlake (WA)","https://hspf17.debatecoaches.org//Eastlake/","[]","No debaters listed"
"Eden Prairie (MN)","https://hspf17.debatecoaches.org//Eden%20Prairie/","[]","No debaters listed"
